TOWNCODE,COUNTYNAME,TOWNNAME,year,daily_solar_radiation,relative_humidity,air_temperature,earth_temperature,earth_temperature_amplitude,wind_speed,atmospheric_pressure,heating_degree_days,cooling_degree_days,heating_design_temperature,cooling_design_temperature,frost_days
65000120,新北市,瑞芳區,2023,3.906078356164384,81.42060273972604,23.735561643835617,24.567205479452053,9.760000000000002,5.193835616438356,100.20547945205482,20.460000000000004,2004.4399999999998,11.569999999999999,33.10666666666667,0
65000120,新北市,瑞芳區,2024,3.7497833333333337,82.62128415300546,23.934344262295085,24.73303278688525,10.009999999999998,5.004644808743169,100.17546448087433,21.39000000000004,2083.5599999999995,11.79,32.38666666666666,0
65000120,新北市,瑞芳區,2025,4.213502994011975,82.86284931506847,23.726739726027397,24.493452054794517,9.950000000000003,5.26786301369863,100.18008219178081,79.77000000000005,2060.53,11.973333333333334,31.513333333333335,0
65000130,新北市,土城區,2013,3.7659084931506848,84.34767123287672,21.20687671232877,21.507616438356163,12.930000000000001,4.877068493150685,98.75956164383561,327.97000000000014,1388.9799999999996,7.706666666666667,31.73333333333333,0
65000130,新北市,土城區,2014,3.8430613698630145,83.20460273972603,21.357917808219177,21.70430136986301,13.760000000000002,4.534465753424658,98.77715068493151,400.63000000000005,1516.7699999999998,7.236666666666667,31.97,0
65000130,新北市,土城區,2015,3.919658082191781,83.90687671232877,21.729616438356164,22.02797260273973,12.919999999999998,4.829424657534247,98.79912328767124,282.6600000000001,1534.4699999999998,7.9799999999999995,31.92,0
65000130,新北市,土城區,2016,3.7904614754098365,86.26136612021857,21.80743169398907,22.019672131147544,14.330000000000002,4.632950819672131,98.76065573770492,370.71000000000004,1654.4299999999996,5.3999999999999995,32.09,0
65000130,新北市,土城區,2017,3.8297947945205473,84.56484931506851,21.783698630136985,22.102219178082194,12.780000000000001,4.831232876712329,98.81468493150685,312.3600000000002,1583.9099999999996,8.62,32.21,0
65000130,新北市,土城區,2018,3.9874175342465747,84.44671232876713,21.743178082191783,22.111753424657536,13.31,4.726657534246576,98.72835616438354,269.60000000000014,1526.3599999999994,7.603333333333334,32.339999999999996,0
65000130,新北市,土城區,2019,3.826375342465753,85.27024657534247,21.939342465753427,22.227013698630135,11.34,4.971095890410959,98.73764383561644,162.19000000000005,1490.55,10.94,31.316666666666666,0
65000130,新北市,土城區,2020,3.9260226775956277,83.63368852459016,22.00185792349727,22.34811475409836,12.23,4.901584699453552,98.8343989071038,208.25000000000003,1563.1299999999999,6.47,32.519999999999996,0
65000130,新北市,土城區,2021,4.163436986301369,83.66668493150685,22.03630136986301,22.300684931506847,13.910000000000002,4.7984109589041095,98.76065753424659,262.1800000000001,1625.9299999999996,8.08,32.849999999999994,0
65000130,新北市,土城區,2022,3.828847671232877,85.06613698630137,21.808657534246574,22.120438356164385,13.5,5.049287671232876,98.76928767123287,288.5400000000001,1569.1999999999996,8.393333333333333,33.58333333333333,0
65000130,新北市,土城區,2023,3.9763550684931515,82.00008219178083,22.295999999999996,22.639753424657535,14.3,4.794657534246576,98.78309589041096,247.00000000000017,1705.5399999999997,7.16,34.19,0
65000130,新北市,土城區,2024,3.833393169398907,83.49806010928963,22.484071038251365,22.851775956284154,13.04,4.646284153005465,98.7587431693989,249.25000000000003,1780.6199999999997,8.27,32.53333333333333,0
65000130,新北市,土城區,2025,4.008978143712575,84.13117808219178,22.112794520547947,22.304356164383563,13.240000000000002,4.747315068493151,98.75687671232878,302.6600000000001,1694.33,8.103333333333333,32.48666666666667,0
65000140,新北市,蘆洲區,2013,3.6402991780821923,84.34767123287672,21.20687671232877,21.507616438356163,12.930000000000001,4.877068493150685,98.75956164383561,327.97000000000014,1388.9799999999996,7.706666666666667,31.73333333333333,0
65000140,新北市,蘆洲區,2014,3.770857808219178,83.20460273972603,21.357917808219177,21.70430136986301,13.760000000000002,4.534465753424658,98.77715068493151,400.63000000000005,1516.7699999999998,7.236666666666667,31.97,0
65000140,新北市,蘆洲區,2015,3.6822969863013704,83.90687671232877,21.729616438356164,22.02797260273973,12.919999999999998,4.829424657534247,98.79912328767124,282.6600000000001,1534.4699999999998,7.9799999999999995,31.92,0
65000140,新北市,蘆洲區,2016,3.6687904371584694,86.26136612021857,21.80743169398907,22.019672131147544,14.330000000000002,4.632950819672131,98.76065573770492,370.71000000000004,1654.4299999999996,5.3999999999999995,32.09,0
65000140,新北市,蘆洲區,2017,3.775852054794521,84.56484931506851,21.783698630136985,22.102219178082194,12.780000000000001,4.831232876712329,98.81468493150685,312.3600000000002,1583.9099999999996,8.62,32.21,0
65000140,新北市,蘆洲區,2018,3.990993150684931,84.44671232876713,21.743178082191783,22.111753424657536,13.31,4.726657534246576,98.72835616438354,269.60000000000014,1526.3599999999994,7.603333333333334,32.339999999999996,0
65000140,新北市,蘆洲區,2019,3.712860821917808,85.27024657534247,21.939342465753427,22.227013698630135,11.34,4.971095890410959,98.73764383561644,162.19000000000005,1490.55,10.94,31.316666666666666,0
65000140,新北市,蘆洲區,2020,3.7910860655737704,83.63368852459016,22.00185792349727,22.34811475409836,12.23,4.901584699453552,98.8343989071038,208.25000000000003,1563.1299999999999,6.47,32.519999999999996,0
65000140,新北市,蘆洲區,2021,4.064644657534247,83.66668493150685,22.03630136986301,22.300684931506847,13.910000000000002,4.7984109589041095,98.76065753424659,262.1800000000001,1625.9299999999996,8.08,32.849999999999994,0
65000140,新北市,蘆洲區,2022,3.5752767123287668,85.06613698630137,21.808657534246574,22.120438356164385,13.5,5.049287671232876,98.76928767123287,288.5400000000001,1569.1999999999996,8.393333333333333,33.58333333333333,0
65000140,新北市,蘆洲區,2023,3.906078356164384,82.00008219178083,22.295999999999996,22.639753424657535,14.3,4.794657534246576,98.78309589041096,247.00000000000017,1705.5399999999997,7.16,34.19,0
65000140,新北市,蘆洲區,2024,3.7497833333333337,83.49806010928963,22.484071038251365,22.851775956284154,13.04,4.646284153005465,98.7587431693989,249.25000000000003,1780.6199999999997,8.27,32.53333333333333,0
65000140,新北市,蘆洲區,2025,4.213502994011975,84.13117808219178,22.112794520547947,22.304356164383563,13.240000000000002,4.747315068493151,98.75687671232878,302.6600000000001,1694.33,8.103333333333333,32.48666666666667,0
65000150,新北市,五股區,2013,3.6402991780821923,84.34767123287672,21.20687671232877,21.507616438356163,12.930000000000001,4.877068493150685,98.75956164383561,327.97000000000014,1388.9799999999996,7.706666666666667,31.73333333333333,0
65000150,新北市,五股區,2014,3.770857808219178,83.20460273972603,21.357917808219177,21.70430136986301,13.760000000000002,4.534465753424658,98.77715068493151,400.63000000000005,1516.7699999999998,7.236666666666667,31.97,0
65000150,新北市,五股區,2015,3.6822969863013704,83.90687671232877,21.729616438356164,22.02797260273973,12.919999999999998,4.829424657534247,98.79912328767124,282.6600000000001,1534.4699999999998,7.9799999999999995,31.92,0
65000150,新北市,五股區,2016,3.6687904371584694,86.26136612021857,21.80743169398907,22.019672131147544,14.330000000000002,4.632950819672131,98.76065573770492,370.71000000000004,1654.4299999999996,5.3999999999999995,32.09,0
65000150,新北市,五股區,2017,3.775852054794521,84.56484931506851,21.783698630136985,22.102219178082194,12.780000000000001,4.831232876712329,98.81468493150685,312.3600000000002,1583.9099999999996,8.62,32.21,0
65000150,新北市,五股區,2018,3.990993150684931,84.44671232876713,21.743178082191783,22.111753424657536,13.31,4.726657534246576,98.72835616438354,269.60000000000014,1526.3599999999994,7.603333333333334,32.339999999999996,0
65000150,新北市,五股區,2019,3.712860821917808,85.27024657534247,21.939342465753427,22.227013698630135,11.34,4.971095890410959,98.73764383561644,162.19000000000005,1490.55,10.94,31.316666666666666,0
65000150,新北市,五股區,2020,3.7910860655737704,83.63368852459016,22.00185792349727,22.34811475409836,12.23,4.901584699453552,98.8343989071038,208.25000000000003,1563.1299999999999,6.47,32.519999999999996,0
65000150,新北市,五股區,2021,4.064644657534247,83.66668493150685,22.03630136986301,22.300684931506847,13.910000000000002,4.7984109589041095,98.76065753424659,262.1800000000001,1625.9299999999996,8.08,32.849999999999994,0
65000150,新北市,五股區,2022,3.5752767123287668,85.06613698630137,21.808657534246574,22.120438356164385,13.5,5.049287671232876,98.76928767123287,288.5400000000001,1569.1999999999996,8.393333333333333,33.58333333333333,0
65000150,新北市,五股區,2023,3.906078356164384,82.00008219178083,22.295999999999996,22.639753424657535,14.3,4.794657534246576,98.78309589041096,247.00000000000017,1705.5399999999997,7.16,34.19,0
65000150,新北市,五股區,2024,3.7497833333333337,83.49806010928963,22.484071038251365,22.851775956284154,13.04,4.646284153005465,98.7587431693989,249.25000000000003,1780.6199999999997,8.27,32.53333333333333,0
65000150,新北市,五股區,2025,4.213502994011975,84.13117808219178,22.112794520547947,22.304356164383563,13.240000000000002,4.747315068493151,98.75687671232878,302.6600000000001,1694.33,8.103333333333333,32.48666666666667,0
65000160,新北市,泰山區,2013,3.6402991780821923,84.34767123287672,21.20687671232877,21.507616438356163,12.930000000000001,4.877068493150685,98.75956164383561,327.97000000000014,1388.9799999999996,7.706666666666667,31.73333333333333,0
65000160,新北市,泰山區,2014,3.770857808219178,83.20460273972603,21.357917808219177,21.70430136986301,13.760000000000002,4.534465753424658,98.77715068493151,400.63000000000005,1516.7699999999998,7.236666666666667,31.97,0
65000160,新北市,泰山區,2015,3.6822969863013704,83.90687671232877,21.729616438356164,22.02797260273973,12.919999999999998,4.829424657534247,98.79912328767124,282.6600000000001,1534.4699999999998,7.9799999999999995,31.92,0
65000160,新北市,泰山區,2016,3.6687904371584694,86.26136612021857,21.80743169398907,22.019672131147544,14.330000000000002,4.632950819672131,98.76065573770492,370.71000000000004,1654.4299999999996,5.3999999999999995,32.09,0
65000160,新北市,泰山區,2017,3.775852054794521,84.56484931506851,21.783698630136985,22.102219178082194,12.780000000000001,4.831232876712329,98.81468493150685,312.3600000000002,1583.9099999999996,8.62,32.21,0
65000160,新北市,泰山區,2018,3.990993150684931,84.44671232876713,21.743178082191783,22.111753424657536,13.31,4.726657534246576,98.72835616438354,269.60000000000014,1526.3599999999994,7.603333333333334,32.339999999999996,0
65000160,新北市,泰山區,2019,3.712860821917808,85.27024657534247,21.939342465753427,22.227013698630135,11.34,4.971095890410959,98.73764383561644,162.19000000000005,1490.55,10.94,31.316666666666666,0
65000160,新北市,泰山區,2020,3.7910860655737704,83.63368852459016,22.00185792349727,22.34811475409836,12.23,4.901584699453552,98.8343989071038,208.25000000000003,1563.1299999999999,6.47,32.519999999999996,0
65000160,新北市,泰山區,2021,4.064644657534247,83.66668493150685,22.03630136986301,22.300684931506847,13.910000000000002,4.7984109589041095,98.76065753424659,262.1800000000001,1625.9299999999996,8.08,32.849999999999994,0
65000160,新北市,泰山區,2022,3.5752767123287668,85.06613698630137,21.808657534246574,22.120438356164385,13.5,5.049287671232876,98.76928767123287,288.5400000000001,1569.1999999999996,8.393333333333333,33.58333333333333,0
65000160,新北市,泰山區,2023,3.906078356164384,82.00008219178083,22.295999999999996,22.639753424657535,14.3,4.794657534246576,98.78309589041096,247.00000000000017,1705.5399999999997,7.16,34.19,0
65000160,新北市,泰山區,2024,3.7497833333333337,83.49806010928963,22.484071038251365,22.851775956284154,13.04,4.646284153005465,98.7587431693989,249.25000000000003,1780.6199999999997,8.27,32.53333333333333,0
65000160,新北市,泰山區,2025,4.213502994011975,84.13117808219178,22.112794520547947,22.304356164383563,13.240000000000002,4.747315068493151,98.75687671232878,302.6600000000001,1694.33,8.103333333333333,32.48666666666667,0
65000170,新北市,林口區,2013,3.6402991780821923,84.34767123287672,21.20687671232877,21.507616438356163,12.930000000000001,4.877068493150685,98.75956164383561,327.97000000000014,1388.9799999999996,7.706666666666667,31.73333333333333,0
65000170,新北市,林口區,2014,3.770857808219178,83.20460273972603,21.357917808219177,21.70430136986301,13.760000000000002,4.534465753424658,98.77715068493151,400.63000000000005,1516.7699999999998,7.236666666666667,31.97,0
65000170,新北市,林口區,2015,3.6822969863013704,83.90687671232877,21.729616438356164,22.02797260273973,12.919999999999998,4.829424657534247,98.79912328767124,282.6600000000001,1534.4699999999998,7.9799999999999995,31.92,0
65000170,新北市,林口區,2016,3.6687904371584694,86.26136612021857,21.80743169398907,22.019672131147544,14.330000000000002,4.632950819672131,98.76065573770492,370.71000000000004,1654.4299999999996,5.3999999999999995,32.09,0
65000170,新北市,林口區,2017,3.775852054794521,84.56484931506851,21.783698630136985,22.102219178082194,12.780000000000001,4.831232876712329,98.81468493150685,312.3600000000002,1583.9099999999996,8.62,32.21,0
65000170,新北市,林口區,2018,3.990993150684931,84.44671232876713,21.743178082191783,22.111753424657536,13.31,4.726657534246576,98.72835616438354,269.60000000000014,1526.3599999999994,7.603333333333334,32.339999999999996,0
65000170,新北市,林口區,2019,3.712860821917808,85.27024657534247,21.939342465753427,22.227013698630135,11.34,4.971095890410959,98.73764383561644,162.19000000000005,1490.55,10.94,31.316666666666666,0
65000170,新北市,林口區,2020,3.7910860655737704,83.63368852459016,22.00185792349727,22.34811475409836,12.23,4.901584699453552,98.8343989071038,208.25000000000003,1563.1299999999999,6.47,32.519999999999996,0
65000170,新北市,林口區,2021,4.064644657534247,83.66668493150685,22.03630136986301,22.300684931506847,13.910000000000002,4.7984109589041095,98.76065753424659,262.1800000000001,1625.9299999999996,8.08,32.849999999999994,0
65000170,新北市,林口區,2022,3.5752767123287668,85.06613698630137,21.808657534246574,22.120438356164385,13.5,5.049287671232876,98.76928767123287,288.5400000000001,1569.1999999999996,8.393333333333333,33.58333333333333,0
65000170,新北市,林口區,2023,3.906078356164384,82.00008219178083,22.295999999999996,22.639753424657535,14.3,4.794657534246576,98.78309589041096,247.00000000000017,1705.5399999999997,7.16,34.19,0
65000170,新北市,林口區,2024,3.7497833333333337,83.49806010928963,22.484071038251365,22.851775956284154,13.04,4.646284153005465,98.7587431693989,249.25000000000003,1780.6199999999997,8.27,32.53333333333333,0
65000170,新北市,林口區,2025,4.213502994011975,84.13117808219178,22.112794520547947,22.304356164383563,13.240000000000002,4.747315068493151,98.75687671232878,302.6600000000001,1694.33,8.103333333333333,32.48666666666667,0
65000180,新北市,深坑區,2013,3.7659084931506848,82.94372602739726,22.790931506849315,23.76158904109589,9.310000000000002,5.5551232876712335,100.18435616438359,81.22000000000003,1720.4099999999994,11.44,31.400000000000002,0
65000180,新北市,深坑區,2014,3.8430613698630145,81.98052054794522,22.841260273972605,23.811013698630138,9.79,5.142301369863015,100.20800000000001,121.71999999999997,1779.2800000000002,10.656666666666666,31.573333333333334,0
65000180,新北市,深坑區,2015,3.919658082191781,83.70978082191782,23.099342465753427,23.928301369863014,9.399999999999999,5.028821917808219,100.225698630137,75.86000000000008,1827.6199999999994,11.729999999999999,31.426666666666666,0
65000180,新北市,深坑區,2016,3.7904614754098365,84.889043715847,23.35016393442623,24.203661202185796,10.18,5.223551912568306,100.18576502732238,103.04000000000002,1951.4000000000003,9.229999999999999,31.643333333333334,0
65000180,新北市,深坑區,2017,3.8297947945205473,83.10449315068493,23.326356164383558,24.265068493150686,8.990000000000002,5.282383561643836,100.24054794520549,24.079999999999984,1858.7,12.373333333333335,31.773333333333337,0
65000180,新北市,深坑區,2018,3.9874175342465747,82.80358904109589,23.294931506849313,24.263287671232877,9.739999999999998,5.374164383561643,100.15254794520548,80.4500000000001,1903.5999999999997,11.536666666666667,31.74666666666667,0
65000180,新北市,深坑區,2019,3.826375342465753,83.70024657534246,23.459397260273967,24.31586301369863,8.05,5.170712328767124,100.15438356164383,0.0,1883.1799999999998,14.43,31.843333333333334,0
65000180,新北市,深坑區,2020,3.9260226775956277,82.72655737704919,23.514016393442624,24.415573770491804,9.330000000000002,5.245,100.25428961748632,9.920000000000009,1918.2499999999998,10.33,31.863333333333333,0
65000180,新北市,深坑區,2021,4.163436986301369,81.97679452054794,23.626684931506848,24.536849315068494,9.600000000000001,5.134575342465753,100.18136986301369,62.930000000000035,2007.17,11.969999999999999,32.42666666666667,0
65000180,新北市,深坑區,2022,3.828847671232877,83.154301369863,23.50476712328767,24.47717808219178,9.850000000000001,5.513315068493151,100.17608219178081,43.01000000000003,1942.75,11.616666666666667,32.516666666666666,0
65000180,新北市,深坑區,2023,3.9763550684931515,81.42060273972604,23.735561643835617,24.567205479452053,9.760000000000002,5.193835616438356,100.20547945205482,20.460000000000004,2004.4399999999998,11.569999999999999,33.10666666666667,0
65000180,新北市,深坑區,2024,3.833393169398907,82.62128415300546,23.934344262295085,24.73303278688525,10.009999999999998,5.004644808743169,100.17546448087433,21.39000000000004,2083.5599999999995,11.79,32.38666666666666,0
65000180,新北市,深坑區,2025,4.008978143712575,82.86284931506847,23.726739726027397,24.493452054794517,9.950000000000003,5.26786301369863,100.18008219178081,79.77000000000005,2060.53,11.973333333333334,31.513333333333335,0
